{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 498.02337662586547, 'time_values': 36.54666519165039}
{'fvalues': 504.8202698073521, 'time_values': 37.013221740722656}
{'fvalues': 496.658982164327, 'time_values': 37.37873077392578}
{'fvalues': 495.198346934634, 'time_values': 37.347721099853516}
{'fvalues': 500.0148770230254, 'time_values': 36.89939498901367}
{'fvalues': 501.95097037287894, 'time_values': 36.683753967285156}
{'fvalues': 493.89788781681597, 'time_values': 37.51488494873047}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 949.767147683588, 'time_values': 15.211356163024902}
{'fvalues': 950.0859595764978, 'time_values': 15.403223991394043}
{'fvalues': 949.482638004978, 'time_values': 15.545945167541504}
{'fvalues': 949.9074220337915, 'time_values': 15.217084884643555}
{'fvalues': 950.0199898237552, 'time_values': 15.480690956115723}
{'fvalues': 949.4812717656508, 'time_values': 15.597795486450195}
{'fvalues': 950.0805445095871, 'time_values': 15.234910011291504}
{'fvalues': 950.099468133266, 'time_values': 15.353461265563965}
{'fvalues': 949.2581339609821, 'time_values': 15.620732307434082}
{'fvalues': 950.101465569716, 'time_values': 15.61689567565918}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 994.9726953538063, 'time_values': 13.057409286499023}
{'fvalues': 994.9446169057838, 'time_values': 13.423272132873535}
{'fvalues': 994.9706442055909, 'time_values': 13.548855781555176}
{'fvalues': 995.0071424782946, 'time_values': 13.216004371643066}
{'fvalues': 994.9735016617087, 'time_values': 13.168781280517578}
{'fvalues': 994.988013787758, 'time_values': 13.451793670654297}
{'fvalues': 994.931845726202, 'time_values': 13.15864086151123}
{'fvalues': 995.0116891146117, 'time_values': 13.184041976928711}
{'fvalues': 994.9887290367552, 'time_values': 12.963200569152832}
{'fvalues': 994.8987101229287, 'time_values': 13.491827011108398}
